"PdId","IncidntNum","Incident Code","Category","Descript","DayOfWeek","Date","Time","PdDistrict","Resolution","Address","X","Y","location","SF Find Neighborhoods 2 2","Current Police Districts 2 2","Current Supervisor Districts 2 2","Analysis Neighborhoods 2 2","DELETE - Fire Prevention Districts 2 2","DELETE - Police Districts 2 2","DELETE - Supervisor Districts 2 2","DELETE - Zip Codes 2 2","DELETE - Neighborhoods 2 2","DELETE - 2017 Fix It Zones 2 2","Civic Center Harm Reduction Project Boundary 2 2","Fix It Zones as of 2017-11-06  2 2","DELETE - HSOC Zones 2 2","Fix It Zones as of 2018-02-07 2 2","CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2","Central Market/Tenderloin Boundary 2 2","Central Market/Tenderloin Boundary Polygon - Updated 2 2","HSOC Zones as of 2018-06-05 2 2","OWED Public Spaces 2 2","Neighborhoods 2"
"13071797906125","130717979","06125","LARCENY/THEFT","THEFT OF CHECKS OR CREDIT CARDS","Saturday","08/24/2013","17:00","RICHMOND","NONE","2100 Block of POST ST","-122.437220557775","37.7846857938094","POINT (-122.437220557775 37.7846857938094)","103","4","11","15","13","6","11","29490","13","","","","","","","2","","","","","103"
"11070501327170","110705013","27170","OTHER OFFENSES","RESISTING ARREST","Friday","09/02/2011","12:27","TARAVAL","ARREST, BOOKED","HOLLOWAY AV / BRIGHTON AV","-122.455126636805","37.7218483854605","POINT (-122.45512663680502 37.7218483854605)","64","10","1","24","9","8","6","28861","24","","","19","","19","","2","","","","","64"
"6106688911010","061066889","11010","STOLEN PROPERTY","RECEIVING STOLEN PROPERTY","Friday","10/06/2006","12:23","BAYVIEW","ARREST, BOOKED","0 Block of DAKOTA ST","-122.395513264888","37.7536178531447","POINT (-122.39551326488801 37.7536178531447)","54","2","9","26","10","3","8","28856","29","","","","","","","2","","","","","54"
"12077809407021","120778094","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Wednesday","09/26/2012","17:00","TARAVAL","NONE","0 Block of PINEHURST WY","-122.465280686389","37.7275075343495","POINT (-122.465280686389 37.7275075343495)","68","10","8","41","9","8","4","59","40","","","","","","","1","","","","","68"
"13024562905014","130245629","05014","BURGLARY","BURGLARY, VEHICLE (ARREST MADE)","Sunday","03/24/2013","22:00","TENDERLOIN","ARREST, BOOKED","200 Block of LEAVENWORTH ST","-122.414081138014","37.7832767266062","POINT (-122.41408113801401 37.7832767266062)","20","5","10","36","7","10","9","28852","36","17","1","18","","18","6","2","1","1","","","20"
"9604881828150","096048818","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","07/02/2009","19:30","PARK","NONE","LYON ST / MCALLISTER ST","-122.443324444777","37.7771638194542","POINT (-122.44332444477702 37.7771638194542)","97","7","11","18","15","5","11","29492","16","","","","","","","1","","","","","97"
"12030397006364","120303970","06364","LARCENY/THEFT","GRAND THEFT SHOPLIFTING","Tuesday","04/17/2012","12:23","CENTRAL","NONE","100 Block of CLAY ST","-122.397373740066","37.7953338267436","POINT (-122.397373740066 37.7953338267436)","108","6","3","8","3","1","10","28860","6","","","","","","","1","","","","","108"
"7010598106242","070105981","06242","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Monday","01/29/2007","21:40","NORTHERN","NONE","0 Block of WILLOW ST","-122.418450965192","37.7836164048533","POINT (-122.41845096519198 37.7836164048533)","20","5","10","36","7","9","9","28858","36","","","","","","","2","1","1","","","20"
"9009659230080","090096592","30080","OTHER OFFENSES","OBSTRUCTIONS ON STREETS/SIDEWALKS","Tuesday","01/27/2009","07:42","BAYVIEW","ARREST, CITED","1300 Block of CARROLL AV","-122.388667171578","37.7223782958446","POINT (-122.38866717157802 37.7223782958446)","78","2","9","1","10","3","8","58","1","","","","","","","2","","","","","78"
"4074905828160","040749058","28160","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","06/30/2004","22:30","SOUTHERN","NONE","HOWARD ST / RUSS ST","-122.408275664984","37.7788598479242","POINT (-122.408275664984 37.7788598479242)","32","1","10","34","14","2","9","28853","34","24","1","6","1","6","","2","1","1","1","","32"
